Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,1,,,
Date,December/08/2025,,,,,Date,December/09/2025,,,,,Date,December/11/2025,,,,,Date,December/12/2025,,,,,Date,"Dec 14, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,16kg,1,10,,,Leg Press,170lbs,1,10,1700,,Decline Cable Press,60lbs,1,10,,,Romania Dead Lifts,50lbs,1,10,,,8:33/km,42:44:00,5:04km,19:24:00,8:36km
,16kg,2,8,,,,170lbs,2,10,1700,,,60lbs,2,10,,,,50lbs,2,10,,,,,,,
,16kg,3,8,,,,170lbs,3,10,1700,,,60lbs,3,10,,,,50lbs,3,10,,,,,,,
Incline Bench Press Machine,45kg,1,10,,,Hip Thrust,60kg,1,10,1322,,Straight Arm Pulldown,60lbs,1,10,,,Leg Press,100lbs,1,12,,,,,,,
,45kg,2,8,,,,60kg,2,10,1322,,,60lbs,2,10,,,,100lbs,2,12,,,,,,,
,45kg,3,9,,,,60kg,3,10,1322,,,60lbs,3,10,,,,100lbs,3,12,,,,,,,
Shoulder Press Machine,20kg,1,10,,,Leg Curls,45kg,1,10,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,44lbs,1,12,,,,,,,
,20kg,2,10,,,,45kg,2,10,990,,,30lbs,2,10,,,,44lbs,2,12,,,,,,,
,20kg,3,10,,,,45kg,3,10,990,,,30lbs,3,10,,,,44lbs,3,12,,,,,,,
Wide Grip Cable Rows,80lbs,1,10,,,Abductor Machine,60kg,1,10,1322,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,40lbs,1,20,,,,,,,
,80lbs,2,10,,,,60kg,2,10,1322,,,50lbs,2,10,,,,40lbs,2,20,,,,,,,
,80lbs,3,10,,,,60kg,3,10,1322,,,50lbs,3,10,,,,40lbs,3,20,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body weight,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,,3,10,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,19533.804,,Preacher Curls Dumbbell,30lbs,1,10,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,pounds,,,30lbs,2,10,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,30lbs,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,1,,,
Date,December/15/2025,,,,,Date,December/16/2025,,,,,Date,December/18/2025,,,,,Date,December/19/2025,,,,,Date,"Dec 21, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-35lbs,1,10,,,Leg Press,190lbs,1,10,1900,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,60lbs,1,10,,,8:20/km,41:42:00,5:38km,44:18:00,8:16/km
,-35lbs,2,9,,,,190lbs,2,10,1900,,,80lbs,2,10,,,,60lbs,2,10,,,,,,,
,-35lbs,3,8,,,,190lbs,3,10,1900,,,80lbs,3,10,,,,60lbs,3,8,,,,,,,
Incline Bench Press Machine,88lbs,1,10,,,Hip Thrust,154lbs,1,10,1540,,Straight Arm Pulldown,65lbs,1,10,,,Leg Press,110lbs,1,12,,,,,,,
,99lbs,2,8,,,,154lbs,2,10,1540,,,65lbs,2,10,,,,110lbs,2,12,,,,,,,
,88lbs,3,10,,,,154lbs,3,10,1540,,,65lbs,3,10,,,,200lbs,3,12,,,,,,,
Shoulder Press Machine,44lbs,1,10,,,Leg Curls,99lbs,1,10,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,99lbs,1,10,,,,,,,
,44lbs,2,10,,,,99lbs,2,10,990,,,30lbs,2,10,,,,99lbs,2,12,,,,,,,
,44lbs,3,10,,,,99lbs,3,10,990,,,30lbs,3,10,,,,99lbs,3,12,,,,,,,
Wide Grip Cable Rows,85lbs,1,10,,,Abductor Machine,143lbs,1,10,1430,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,45lbs,1,10,,,,,,,
,85lbs,2,10,,,,143lbs,2,10,1430,,,50lbs,2,10,,,,45lbs,2,10,,,,,,,
,85lbs,3,10,,,,143lbs,3,10,1430,,,50lbs,3,10,,,,45lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,,3,10,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,21111.804,,Preacher Curls Dumbbell,30bls,1,10,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,,,,30bls,2,10,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,30bls,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
