Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,1,,,,,Week,1,,,,,Week,1,,,,,Week,1,,,,,Week,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,
Date,December/08/2025,,,,,Date,December/09/2025,,,,,Date,December/11/2025,,,,,Date,December/12/2025,,,,,Date,"Dec 14, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,16kg,1,10,,,Leg Press,170lbs,1,10,1700,,Decline Cable Press,60lbs,1,10,,,Romania Dead Lifts,50lbs,1,10,,,8:33/km,42:44:00,5:04km,19:24:00,8:36km
,16kg,2,8,,,,170lbs,2,10,1700,,,60lbs,2,10,,,,50lbs,2,10,,,,,,,
,16kg,3,8,,,,170lbs,3,10,1700,,,60lbs,3,10,,,,50lbs,3,10,,,,,,,
Incline Bench Press Machine,45kg,1,10,,,Hip Thrust,60kg,1,10,1322,,Straight Arm Pulldown,60lbs,1,10,,,Leg Press,100lbs,1,12,,,,,,,
,45kg,2,8,,,,60kg,2,10,1322,,,60lbs,2,10,,,,100lbs,2,12,,,,,,,
,45kg,3,9,,,,60kg,3,10,1322,,,60lbs,3,10,,,,100lbs,3,12,,,,,,,
Shoulder Press Machine,20kg,1,10,,,Leg Curls,45kg,1,10,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,44lbs,1,12,,,,,,,
,20kg,2,10,,,,45kg,2,10,990,,,30lbs,2,10,,,,44lbs,2,12,,,,,,,
,20kg,3,10,,,,45kg,3,10,990,,,30lbs,3,10,,,,44lbs,3,12,,,,,,,
Wide Grip Cable Rows,80lbs,1,10,,,Abductor Machine,60kg,1,10,1322,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,40lbs,1,20,,,,,,,
,80lbs,2,10,,,,60kg,2,10,1322,,,50lbs,2,10,,,,40lbs,2,20,,,,,,,
,80lbs,3,10,,,,60kg,3,10,1322,,,50lbs,3,10,,,,40lbs,3,20,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body weight,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,,3,10,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,19533.804,,Preacher Curls Dumbbell,30lbs,1,10,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,pounds,,,30lbs,2,10,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,30lbs,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,3,,,,,Week,3,,,,,Week,3,,,,,Week,3,,,,,Week,3,,,
Date,December/15/2025,,,,,Date,December/16/2025,,,,,Date,December/18/2025,,,,,Date,December/19/2025,,,,,Date,"Dec 21, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-35.2lbs,1,10,,,Leg Press,190lbs,1,10,1900,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,60lbs,1,10,,,8:20/km,41:42:00,5:38km,44:18:00,8:16/km
,-35.2lbs,2,9,,,,190lbs,2,10,1900,,,80lbs,2,10,,,,60lbs,2,10,,,,,,,
,-35.2lbs,3,8,,,,190lbs,3,10,1900,,,80lbs,3,10,,,,60lbs,3,8,,,,,,,
Incline Bench Press Machine,88lbs,1,10,,,Hip Thrust,154lbs,1,10,1540,,Straight Arm Pulldown,65lbs,1,10,,,Leg Press,110lbs,1,12,,,,,,,
,99lbs,2,8,,,,154lbs,2,10,1540,,,65lbs,2,10,,,,110lbs,2,12,,,,,,,
,88lbs,3,10,,,,154lbs,3,10,1540,,,65lbs,3,10,,,,200lbs,3,12,,,,,,,
Shoulder Press Machine,44lbs,1,10,,,Leg Curls,99lbs,1,10,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,99lbs,1,10,,,,,,,
,44lbs,2,10,,,,99lbs,2,10,990,,,30lbs,2,10,,,,99lbs,2,12,,,,,,,
,44lbs,3,10,,,,99lbs,3,10,990,,,30lbs,3,10,,,,99lbs,3,12,,,,,,,
Wide Grip Cable Rows,85lbs,1,10,,,Abductor Machine,143lbs,1,10,1430,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,45lbs,1,10,,,,,,,
,85lbs,2,10,,,,143lbs,2,10,1430,,,50lbs,2,10,,,,45lbs,2,10,,,,,,,
,85lbs,3,10,,,,143lbs,3,10,1430,,,50lbs,3,10,,,,45lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,,3,10,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,21111.804,,Preacher Curls Dumbbell,30bls,1,10,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,,,,30bls,2,10,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,30bls,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,4,,,,,Week,4,,,,,Week,,,,,,Week,,,,,,Week,4,,,
Date,December/25/2025,,,,,Date,December/26/2025,,,,,Date,,,,,,Date,,,,,,Date,"Dec 28, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-26.45lbs,1,10,,,Leg Press,200lbs,1,10,2000,,Decline Cable Press,,,,,,Romania Dead Lifts,,,,,,7:19/km,36:36:00,5:02km,36:49:00,7:20/km
,-26.45lbs,2,8,,,,200lbs,2,10,2000,,,,,,,,,,,,,,,,,,
,-26.45lbs,3,6,,,,200lbs,3,10,2000,,,,,,,,,,,,,,,,,,
Incline Bench Press Machine,99lbs,1,10,,,Hip Thrust,176lbs,1,10,1760,,Straight Arm Pulldown,,,,,,Leg Press,,,,,,,,,,
,99lbs,2,8,,,,176lbs,2,10,1760,,,,,,,,,,,,,,,,,,
,99lbs,3,6,,,,176lbs,3,10,1760,,,,,,,,,,,,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,110lbs,1,10,1100,,Lateral Dumbbell Raises,,,,,,Leg Curls,,,,,,,,,,
,55lbs,2,10,,,,110lbs,2,10,1100,,,,,,,,,,,,,,,,,,
,55lbs,3,10,,,,110lbs,3,9,990,,,,,,,,,,,,,,,,,,
Wide Grip Cable Rows,90lbs,1,10,,,Abductor Machine,165lbs,1,10,1650,,Reverse Fly Machine,,,,,,Machine Ab Crunches,,,,,,,,,,
,90lbs,2,10,,,,165lbs,2,10,1650,,,,,,,,,,,,,,,,,,
,90lbs,3,10,,,,165lbs,3,10,1650,,,,,,,,,,,,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,,,,,,Vertical Leg Raises,,,,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,,,,,,,,,,,,,,,,
Tricep Pushdown,75lbs,1,10,,,,,,,22951.804,,Preacher Curls Dumbbell,,,,,,,,,,,,,,,,
,75lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,75lbs,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,5,,,,,Week,5,,,,,Week,5,,,,,Week,5,,,,,Week,5,,,
Date,December/29/2025,,,,,Date,December/30/2025,,,,,Date,January/01/2026,,,,,Date,January/02/2026,,,,,Date,"Jan 4, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-26.45lbs,1,10,,,Leg Press,200lbs,1,10,2000,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,60lbs,1,10,,,7:30/km,37:59:00,5:39km,40:15:00,7:25/km
,-26.45lbs,2,8,,,,200lbs,2,10,2000,,,80lbs,2,10,,,,60lbs,2,10,,,,,,,
,-26.45lbs,3,8,,,,200lbs,3,10,2000,,,80lbs,3,10,,,,60lbs,3,10,,,,,,,
Incline Bench Press Machine,99lbs,1,10,,,Hip Thrust,176lbs,1,10,1760,,Straight Arm Pulldown,65lbs,1,10,,,Leg Press,190lbs,1,10,,,,,,,
,99lbs,2,9,,,,176lbs,2,10,1760,,,65lbs,2,10,,,,190lbs,2,10,,,,,,,
,99lbs,3,8,,,,176lbs,3,10,1760,,,65lbs,3,10,,,,190lbs,3,10,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,110lbs,1,10,1100,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,10,,,,,,,
,55lbs,2,10,,,,110lbs,2,10,1100,,,30lbs,2,10,,,,110lbs,2,10,,,,,,,
,55lbs,3,10,,,,110lbs,3,10,1100,,,30lbs,3,10,,,,110lbs,3,10,,,,,,,
Wide Grip Cable Rows,90lbs,1,10,,,Abductor Machine,165lbs,1,10,1650,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,45lbs,1,10,,,,,,,
,90lbs,2,10,,,,165lbs,2,10,1650,,,50lbs,2,10,,,,45lbs,2,10,,,,,,,
,90lbs,3,10,,,,165lbs,3,10,1650,,,50lbs,3,10,,,,45lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,75lbs,1,10,,,,,,,23061.804,,Preacher Curls Dumbbell,30bls,1,10,,,,,,,,,,,,,
,75lbs,2,10,,,,,,,,,,30bls,2,10,,,,,,,,,,,,,
,75lbs,3,10,,,,,,,,,,30bls,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,6,,,,,Week,6,,,,,Week,6,,,,,Week,6,,,,,Week,6,,,
Date,January/05/2026,,,,,Date,January/06/2026,,,,,Date,January/08/2026,,,,,Date,January/09/2026,,,,,Date,"Jan 11, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-26.45 lbs,1,9,,,Leg Press,200lbs,1,8,1600,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,60lbs,1,10,,,06:31,32:33:00,5.28,34:47:00,6:35/km
,-26.45 lbs,2,10,,,,200lbs,2,10,2000,,,80lbs,2,10,,,,60lbs,2,10,,,,,,,
,-26.45 lbs,3,8,,,,200lbs,3,9,1800,,,80lbs,3,10,,,,60lbs,3,10,,,,,,,
Incline Bench Press Machine,99lbs,1,8,,,Hip Thrust,176lbs,1,10,1760,,Straight Arm Pulldown,65lbs,1,10,,,Leg Press,190lbs,1,12,,,,,,,
,99 lbs,2,9,,,,176lbs,2,10,1760,,,65lbs,2,10,,,,190lbs,2,12,,,,,,,
,99 lbs,3,8,,,,176lbs,3,10,1760,,,65lbs,3,10,,,,190lbs,3,12,,,,,,,
Shoulder Press Machine,55 lbs,1,10,,,Leg Curls,110lbs,1,10,1100,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,12,,,,,,,
,55 lbs,2,10,,,,110lbs,2,10,1100,,,30lbs,2,10,,,,110lbs,2,12,,,,,,,
,55 lbs,3,10,,,,110lbs,3,10,1100,,,30lbs,3,10,,,,110lbs,3,12,,,,,,,
Wide Grip Cable Rows,90 lbs,1,10,,,Abductor Machine,165lbs,1,10,1650,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,45lbs,1,15,,,,,,,
,90 lbs,2,10,,,,165lbs,2,10,1650,,,50lbs,2,10,,,,45lbs,2,15,,,,,,,
,90 lbs,3,10,,,,165lbs,3,10,1650,,,50lbs,3,10,,,,45lbs,3,15,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,75lbs,1,10,,,,,,147,22461.804,,Preacher Curls Dumbbell,30bls,1,10,,,,,,,,,,,,,
,75lbs,2,10,,,,,,,,,,30bls,2,10,,,,,,,,,,,,,
,75lbs,3,10,,,,,,,,,,30bls,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,7,,,,,Week,7,,,,,Week,7,,,,,Week,7,,,,,Week,7,,,
Date,January/12/2026,,,,,Date,January/13/2026,,,,,Date,January/15/2026,,,,,Date,January/16/2026,,,,,Date,"Jan 18, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-26.45lbs,1,8,,,Leg Press,222lbs,1,10,2220,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,60lbs,1,10,,,07:23km,36:54:00,5.27km,38:49:00,7:22km
,-26.45lbs,2,8,,,,222lbs,2,10,2220,,,80lbs,2,10,,,,60lbs,2,10,,,,,,,
,-26.45lbs,3,8,,,,222lbs,3,10,2220,,,80lbs,3,10,,,,60lbs,3,10,,,,,,,
Incline Bench Press Machine,99lbs,1,9,,,Hip Thrust,176lbs,1,10,1760,,Straight Arm Pulldown,65lbs,1,10,,,Leg Press,190lbs,1,10,,,,,,,
,99lbs,2,6,,,,176lbs,2,10,1760,,,65lbs,2,10,,,,190lbs,2,10,,,,,,,
,99lbs,3,5,,,,176lbs,3,10,1760,,,65lbs,3,10,,,,190lbs,3,10,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,110lbs,1,9,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,10,,,,,,,
,55lbs,2,8,,,,110lbs,2,10,1100,,,30lbs,2,10,,,,110lbs,2,10,,,,,,,
,55lbs,3,8,,,,110lbs,3,9,990,,,30lbs,3,10,,,,110lbs,3,10,,,,,,,
Wide Grip Cable Rows,90lbs,1,10,,,Abductor Machine,165lbs,1,10,1650,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,45lbs,1,10,,,,,,,
,90lbs,2,10,,,,165lbs,2,10,1650,,,50lbs,2,10,,,,45lbs,2,10,,,,,,,
,90lbs,3,8,,,,165lbs,3,10,1650,,,50lbs,3,10,,,,45lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,75lbs,1,10,,,,,,148,23501.804,,Preacher Curls Dumbbell,30bls,1,10,,,,,,,,,,,,,
,75lbs,2,10,,,,,,,,,,30bls,2,10,,,,,,,,,,,,,
,75lbs,3,8,,,,,,,,,,30bls,3,10,,,,,,,,,,,,,
Hammer Curls,40lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,8,,,,,Week,8,,,,,Week,8,,,,,Week,8,,,,,Week,8,,,
Date,January/19/2026,,,,,Date,January/20/2026,,,,,Date,January/22/2026,,,,,Date,January/23/2026,,,,,Date,"Jan 25, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-26.45lbs,1,10,,,Leg Press,222lbs,1,10,2200,,Decline Cable Press,80lbs,1,10,,,Romania Dead Lifts,70lbs,1,10,,,6:19/km,31:34:00,5,31:34:00,06:19
,-26.45lbs,2,8,,,,222lbs,2,10,2200,,,80lbs,2,10,,,,70lbs,2,10,,,,,,,
,-26.45lbs,3,8,,,,222lbs,3,8,1760,,,80lbs,3,10,,,,70lbs,3,10,,,,,,,
Incline Bench Press Machine,99lbs,1,10,,,Hip Thrust,198lbs,1,10,1980,,Straight Arm Pulldown,70lbs,1,10,,,Leg Press,190lbs,1,12,,,,,,,
,99lbs,2,8,,,,198lbs,2,10,1980,,,70lbs,2,10,,,,190lbs,2,12,,,,,,,
,99lbs,3,9,,,,198lbs,3,10,1980,,,70lbs,3,10,,,,190lbs,3,12,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,121lbs,1,10,1210,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,12,,,,,,,
,55lbs,2,10,,,,121lbs,2,9,1089,,,30lbs,2,10,,,,110lbs,2,12,,,,,,,
,55lbs,3,10,,,,121lbs,3,8,968,,,30lbs,3,10,,,,110lbs,3,12,,,,,,,
Wide Grip Cable Rows,95lbs,1,10,,,Abductor Machine,176lbs,1,10,1760,,Reverse Fly Machine,55lbs,1,10,,,Machine Ab Crunches,50lbs,1,10,,,,,,,
,95lbs,2,10,,,,176lbs,2,10,1760,,,55lbs,2,10,,,,50lbs,2,10,,,,,,,
,95lbs,3,8,,,,176lbs,3,10,1760,,,55lbs,3,10,,,,50lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,80lbs,1,9,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,80lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,80lbs,3,8,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,80lbs,1,10,,,,,,145,24178.804,,Preacher Curls Dumbbell,40lbs,1,10,,,,,,,,,,,,,
,80lbs,2,7,,,,,,,,,,40lbs,2,10,,,,,,,,,,,,,
,80lbs,3,5,,,,,,,,,,40lbs,3,10,,,,,,,,,,,,,
Hammer Curls,40lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,3,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
